OlpyplEJ_c_hFxyand_Wxw,"['Szechuan', 'Asian Fusion', 'Chinese', 'Restaurants']"
d5NCb9EFgsE4oPlnSXdIgg,"['Japanese', 'Chinese', 'Restaurants']"
rd2dsPvJANI_sqcrGeCKAw,"['Gluten-Free', 'Asian Fusion', 'Chinese', 'Restaurants']"
oTopK1eMDZp0cOBmu9cn8g,"['Dim Sum', 'Chinese', 'Restaurants']"
vjKa_c5niSnG4FwrqDdsQQ,"['Chinese', 'Restaurants']"
DB5rZ9spvyhBJsqOwckncw,"['Chinese', 'Restaurants']"
b4mnB0Ck6gp4VeSM44kQCA,"['Chinese', 'Restaurants']"
cKL_n9FpPaYHNDb_JLCLGw,"['Chinese', 'Restaurants']"
MgMh64Y-gfu7pnak0oqF7g,"['Chinese', 'Restaurants']"
1PB9xsunCoSccTmAvjMlhA,"['Burmese', 'Chinese', 'Restaurants']"
-I2-9X1hbqTUH3XwvPMJjA,"['Chicken Wings', 'Chinese', 'Restaurants']"
3bwxfBvKABepxYWGz3pHXA,"['Chinese', 'Restaurants']"
CE07HmXNpRvHF3ZnUlm2dg,"['Chinese', 'Restaurants']"
DgMBkHxODShJh1aMMGJFlA,"['Chinese', 'Restaurants']"
XvbnpEeyA0_jnlQhtbKRfw,"['Chinese', 'Restaurants']"
6091WcaSB2PnZ3Ag6eGCmg,"['Chinese', 'Restaurants']"
3GnkK4g6XHL2BbIQ7LhfAQ,"['Chinese', 'Restaurants']"
gX-yJJB72zfuzJC_27IwPg,"['Buffets', 'Chinese', 'Restaurants']"
Fo_8WAlhLgdf8uEoJMQdag,"['Noodles', 'Chinese', 'Restaurants']"
lZ81---gEa_a6yS7x1euPA,"['Sushi Bars', 'Chinese', 'Restaurants']"
6Z-gTRMXUVHDK7KHbT-qnQ,"['Chinese', 'Restaurants']"
F11TZZvhDSwaZ0dahMFtuw,"['Fast Food', 'Asian Fusion', 'Chinese', 'Restaurants']"
RT-0cJb_8-WYhRuCfKxDjw,"['Chinese', 'Restaurants']"
0Pld-vw_vixjIPaI9G2EPA,"['Korean', 'Japanese', 'Chinese', 'Restaurants']"
Az_IY3TgnOcnh1dXd7GZLg,"['Chinese', 'Restaurants']"
Zw5l7DIBS8STNg1GRAaK6Q,"['Fast Food', 'Chinese', 'Restaurants']"
5uxhIGZlJm9g_zfG_83z5Q,"['Chinese', 'Restaurants']"
onItgedmKDLbI3JHOE5XTA,"['Noodles', 'Taiwanese', 'Chinese', 'Restaurants']"
7pxa5tueoEcmt6hztqsz2A,"['Gluten-Free', 'Asian Fusion', 'Chinese', 'Restaurants']"
g4jli0i4Hb-b8kr46Aes7Q,"['Chinese', 'Restaurants']"
V8kqWlhtJg3Uhio-KSeq0A,"['Food', 'Ethnic Food', 'Specialty Food', 'Chinese', 'Restaurants']"
qc-YDANWNNI3iEwam7wy1w,"['Chinese', 'Restaurants']"
gP_TyG7MEEayXI2U8eVyPA,"['Vietnamese', 'Asian Fusion', 'Chinese', 'Restaurants']"
4zfrcEmGvZ4oYKx_revTxA,"['Vietnamese', 'Chinese', 'Restaurants']"
dwr8z1uVvXPrl5kWfIiNFw,"['Fast Food', 'Chinese', 'Restaurants']"
Wdr_1hlMGB6jtzjyKErMrQ,"['Chinese', 'Restaurants']"
Ivy3UkWcCBgdJ8C5om_CVg,"['Fast Food', 'Chinese', 'Restaurants']"
ZDRhfiNBUoXTbLARz8j-xQ,"['Fast Food', 'Chinese', 'Restaurants']"
SPqPt-K6qzTutj_vWOgKGA,"['Chicken Wings', 'Chinese', 'Restaurants']"
9tefv6uPxoHhp_OlQQJVXA,"['Chinese', 'Restaurants']"
NDAxF0_RCZBQedVO_d5WnA,"['Chinese', 'Restaurants']"
TUxCIJ6Jj2lEOqoVIoUH4g,"['Chinese', 'Restaurants']"
HZc_AmZTP9UJLygjXBGlkg,"['Chinese', 'Restaurants']"
4g5A0GMespDYqjXhJU7R2w,"['Chinese', 'Restaurants']"
0w46K_07XbKvCMe8qV6Qow,"['Chinese', 'Restaurants']"
KT9EiMOGpAgFBwVG4GakNg,"['Chinese', 'Restaurants']"
VUk5T-D5EYoX4faKHrEo1w,"['Hawaiian', 'Japanese', 'Chinese', 'Restaurants']"
lAGqSQW24ym7OFxMBXf4RQ,"['Chinese', 'Restaurants']"
eW-hTjKrt91NnQ9xzMYtDQ,"['Chinese', 'Restaurants']"
Ac-Y4OG9TKCzh2LxIoQaug,"['Chinese', 'Restaurants']"
a1t31qMLd5fQocEjbSJ61A,"['Thai', 'Asian Fusion', 'Szechuan', 'Chinese', 'Restaurants']"
AFcuYBQaZh8GpRjx_ynmnw,"['Chinese', 'Restaurants']"
jJJRYzEylibIkck8qOUNrg,"['Buffets', 'Chinese', 'Restaurants']"
H7KzlC0-o1wIhlGg-Me5Ag,"['Thai', 'Asian Fusion', 'Chinese', 'Restaurants']"
LjwXnAjusrwCZGsWV3Ue8Q,"['Fast Food', 'Chinese', 'Restaurants']"
vJ4YBTFB0040aqXy8iy2sw,"['Asian Fusion', 'Buffets', 'Chinese', 'Restaurants']"
KQXusKEWX5iTdzSJStW8Dg,"['Chinese', 'Restaurants']"
simnCuMX4OVwIhWaIqL4zA,"['Chinese', 'Restaurants']"
8SkoyQ3iHXECEit2BDwBrw,"['Noodles', 'Chinese', 'Restaurants']"
jR8B83Mf2vKMN_1BTHBs0g,"['Gluten-Free', 'Asian Fusion', 'Chinese', 'Restaurants']"
ev4X3Tw8pqzOObv5nuIxWQ,"['Chinese', 'Restaurants']"
OCXnwXY6knlIkvz-WR1L0Q,"['Restaurants', 'Event Planning & Services', 'Chinese', 'Caterers']"
LneLMatdffYXluN48_g9og,"['Chinese', 'Restaurants']"
MlzFZFBm6xhW_eHTTEM3uA,"['Chinese', 'Restaurants']"
zYJhXVjEzLz92PVjkos8mA,"['Fast Food', 'Chinese', 'Restaurants']"
C4CbD-0Rz4nglavf_0dRdg,"['Asian Fusion', 'Japanese', 'Chinese', 'Restaurants']"
JVIBRz1ApsunKhkv4ydzhw,"['Chinese', 'Restaurants']"
ChDMwO8gnbwSUwMvmRbxjQ,"['Chinese', 'Restaurants']"
JGEJCYz7gbnOtxbgXB-zSg,"['Seafood', 'Barbeque', 'Chinese', 'Restaurants']"
PLjDXgMqReF1UaY0GsGJtA,"['Chinese', 'Restaurants']"
TISYpj3vopI7p7x4rt4ASg,"['Thai', 'Chinese', 'Restaurants']"
Lfjh90yNwBiUIGmVwM4ImA,"['Fast Food', 'Chinese', 'Restaurants']"
oq7mXtz0Klb_QlqBjmcdaw,"['Chinese', 'Restaurants', 'Karaoke', 'Barbeque', 'Nightlife']"
BadvVbLYqeWe1v1QUBcoUw,"['Food', 'Ethnic Food', 'Specialty Food', 'Chinese', 'Restaurants']"
n-XCVdiTbK5uhl8twwlRZQ,"['Chinese', 'Restaurants']"
NzdRlJpFNtU9G48IXEES5g,"['Chinese', 'Restaurants']"
unXHmjewHGeWQwJr74Sy9g,"['Chinese', 'Restaurants']"
yQPaPFVNGpAeiM-BXc3WQA,"['Chinese', 'Restaurants']"
Y89j1JLipcMGb1xNfijUPw,"['Italian', 'Mexican', 'Chinese', 'Restaurants']"
HiyOTXRkGAACoa7itUOVRQ,"['Chinese', 'Restaurants']"
E93aiEHvf2secePlIeCxGg,"['Chinese', 'Restaurants']"
nz97EGzppkXKU_4cFuDxOg,"['Thai', 'Chinese', 'Restaurants']"
RcufSDfRpeaxLm875axrDQ,"['Chinese', 'Restaurants']"
-uYu2cA8Z3auYhwtlT-VXg,"['Szechuan', 'Chinese', 'Restaurants']"
baV9mE-cD9u-buA9N_k-Xg,"['Buffets', 'Chinese', 'Restaurants']"
wZzUPdHpG2PM09evT72RMw,"['Chinese', 'Restaurants']"
PQdMkFgdSyF-2jK8WhQu-g,"['Buffets', 'Chinese', 'Restaurants']"
-UqxkoufE3WGTnLZV9em3w,"['Chinese', 'Restaurants']"
z0xEfgr1-lDqVatrX-rf-A,"['Chinese', 'Restaurants']"
VnR-KYOHlQX-aFMkaY686Q,"['Cafes', 'Dim Sum', 'Chinese', 'Restaurants']"
7opoNCBk1B00claYpFx4ug,"['Gluten-Free', 'Asian Fusion', 'Chinese', 'Restaurants']"
2aai1pIfThxDTTD_WwXHeA,"['Chinese', 'Restaurants']"
-mLcpJYfX8tw8LR9bq018w,"['Buffets', 'Chinese', 'Restaurants']"
2-XO3LwWdpm-_xOUHSAqGQ,"['Chinese', 'Restaurants']"
fVJge-YF3sWetiEDD-hIHA,"['Fast Food', 'Chinese', 'Restaurants']"
fzLqeHBM4XSphzvX1nkWtg,"['Chinese', 'Restaurants']"
Ny2xALovpv-ZbTvwSSB86A,"['Fast Food', 'Chinese', 'Restaurants']"
R9U8bZ84V-xPx3udCcU5jQ,"['Chinese', 'Restaurants']"
jOgSvW9VNw0Cw9p8w5A2JQ,"['Bars', 'Chinese', 'Food', 'Beer, Wine & Spirits', 'Nightlife', 'Restaurants']"
5U7oz95bINkyw_L8RckGEA,"['Chinese', 'Restaurants']"
TVdSOwbZ-pcRbhOYCiH9-Q,"['Chinese', 'Restaurants']"
Ewf8sZkyCfhi8Nu9LbEc6A,"['Chinese', 'Restaurants']"
6jzuGVc_QICK3s6yKu9MKw,"['Chinese', 'Restaurants']"
kCRG0hsCqW23X_szJA0d0Q,"['Food', 'Tea Rooms', 'Chinese', 'Restaurants']"
LES5wvNMruP8yGMBbl3NSw,"['Japanese', 'Chinese', 'Restaurants']"
kUtoL4B9BBVgViPHk9B8EQ,"['Buffets', 'Chinese', 'Restaurants']"
pygZcdPZ-XMp8CY8_5tE8A,"['Chinese', 'Restaurants']"
DPVk5PTQPYuVA5t9wOvGLw,"['Asian Fusion', 'Sushi Bars', 'Chinese', 'Restaurants']"
FV16IeXJp2W6pnghTz2FAw,"['Vietnamese', 'Chinese', 'Restaurants']"
ECWSOvqjPP8IVuTs_BM8bQ,"['Chinese', 'Restaurants']"
O6fEzyH0fRP7r8IbSnCgoA,"['Chinese', 'Restaurants']"
rgu4D8r828sQvPM4p3k4XQ,"['Sushi Bars', 'Chinese', 'Restaurants']"
GCTDM94HiKxC7GcAWbb4Og,"['Chinese', 'Restaurants']"
EqyNGesG22jNfNT5pmfYgw,"['Chinese', 'Restaurants']"
2unQHR9uaRxk3dsW6f3MGA,"['Chinese', 'Restaurants']"
4XZmBXSb-IvtkQ2nx_TQSg,"['Chinese', 'Restaurants']"
94twCOpyD7FI3i95oiXnmQ,"['Fast Food', 'Chinese', 'Restaurants']"
pAu8UuWTLTLai61TW8-tZw,"['Gluten-Free', 'Asian Fusion', 'Chinese', 'Restaurants']"
9qxRn-qokwlmnRnv6-baLA,"['Fast Food', 'Chinese', 'Restaurants']"
Ro7HUlwjE99iXpzymuDAHw,"['Asian Fusion', 'Hawaiian', 'Chinese', 'Restaurants']"
9Azda34mhYNtxXLqvzkIwg,"['Food', 'Ethnic Food', 'Specialty Food', 'Chinese', 'Restaurants']"
1E53rS8afK2jiLod8Jwy7A,"['Chinese', 'Restaurants']"
lzoTXcynmfZ6Ler5B4HbfQ,"['Thai', 'Seafood', 'Chinese', 'Restaurants']"
mGNJlqLu2wQRyKnh7yEViw,"['Chinese', 'Restaurants']"
r3HWH8XeoV9uohlcrwrMSw,"['Sushi Bars', 'Asian Fusion', 'Chinese', 'Restaurants']"
B6sT5YGBYB9KfhkiZtzQ4A,"['Chinese', 'Restaurants']"
GNZuoHxehd_3Kej7eXj8iQ,"['Chinese', 'Restaurants']"
eKp-9MlaM2Uclfdtf1dM-A,"['Thai', 'Chinese', 'Restaurants']"
AAnKvhzBX9XwoxveONLTsA,"['Thai', 'Vietnamese', 'Chinese', 'Restaurants']"
7VDrYNPhDKFURZbK4MRi8w,"['Chinese', 'Restaurants']"
ai4e0PDmLLrlieV1oeo3XA,"['Chinese', 'Restaurants']"
_ql42UadWUh9SgU09_c2mQ,"['Gluten-Free', 'Asian Fusion', 'Chinese', 'Restaurants']"
OWain9KWY-rr_dbE-OYPlw,"['Hawaiian', 'Barbeque', 'Chinese', 'Restaurants']"
95sQlDylaJ21U6iEl_MEXQ,"['Chinese', 'Restaurants']"
R7YlKfLpoFDAJQB9hBcQJA,"['Chinese', 'Restaurants']"
OfoG4gnacvSo2vG9285njQ,"['Chinese', 'Restaurants']"
CizLmKlwhVxYjI5WumrjwQ,"['Chinese', 'Restaurants']"
TyIsuojeKcTb4Acfg7xqew,"['Chinese', 'Restaurants']"
cwyq1QIa4fNISUap4PCs_A,"['Chinese', 'Restaurants']"
79VvdrEisnCt7JEmoCdPuw,"['Vietnamese', 'Chinese', 'Restaurants']"
qCOCPoxRo9_lLixup-TPTg,"['Taiwanese', 'Chinese', 'Restaurants']"
wwQxWLK7kHj6MaywBdcfFw,"['Chinese', 'Restaurants']"
yBvj8B6e0Bj7TRM2743Afw,"['Chinese', 'Restaurants']"
H_CQGmXaCBj3Qw-PZXswww,"['Chinese', 'Restaurants']"
VWJqohlU4cXYIpNwYQY-wg,"['Chinese', 'Restaurants']"
p3X7T5qvZ7YYBYHl8LN6Vw,"['Sushi Bars', 'Chinese', 'Restaurants']"
_8tGPxBYb4aq3fuhOePTgw,"['Chinese', 'Restaurants']"
orRtROuWoOZWKdfgzgFXJA,"['Chinese', 'Restaurants']"
s4S0BJlgW7eNpt4JqeMRZg,"['Chinese', 'Restaurants']"
HvGfGAi-Vdd3IkiD9CC0mQ,"['Fast Food', 'Chinese', 'Restaurants']"
avmPDHiZlkXqoX6Wk0qbBQ,"['Chinese', 'Restaurants']"
zlatJeuJl05vsJoHM6XEDA,"['Chinese', 'Restaurants']"
hcFlvyDQq-1izciN8bxCQA,"['Chinese', 'Restaurants']"
UcEaSZ2nd721f0C67zN23w,"['Chinese', 'Restaurants']"
zn_gLMU-Lr3wleSPd-nmbg,"['Chinese', 'Restaurants']"
5OE8-LC2N0QhD_KqurPfzw,"['Chinese', 'Restaurants']"
pJwfUoqrSmn4DzKvYPG15Q,"['Chinese', 'Restaurants']"
hhaUz_YCmU7OfSR10uJGrQ,"['Fast Food', 'Chinese', 'Restaurants']"
OBH2AcNS5FQcS4lpK3FEMQ,"['Seafood', 'Chinese', 'Restaurants']"
fQ1h3WSy3kKAsM7NKtFnnQ,"['Bakeries', 'Food', 'Chinese', 'Restaurants']"
d5Zx8s39kpAegUsxPoQsjQ,"['Chinese', 'Restaurants']"
W7-Ybhe6JWJFXjcbmgvdyA,"['Chinese', 'Restaurants']"
um1mE6JQJlkPBLUfdqumUg,"['Taiwanese', 'Chinese', 'Restaurants']"
jCyRkEpj7ma4xsZ9jyR5uQ,"['Sushi Bars', 'Chinese', 'Restaurants']"
ScNZZzPFiQa_Y8cTDUyLCQ,"['Fast Food', 'Chinese', 'Restaurants']"
0iZBk8n6Do6-488w9qCnYg,"['Szechuan', 'Chinese', 'Restaurants']"
AxScnvjfLqpPmTLXGjNhcA,"['Chinese', 'Restaurants']"
LqfCXOcyNPzDtBgy5M9VFA,"['Chinese', 'Restaurants']"
reCYCgskR-ZAtUqRenu-Mg,"['Thai', 'Chinese', 'Restaurants']"
zFcd_gelAUEwAvJOgiZpvg,"['Seafood', 'Chinese', 'Restaurants']"
htIMKHDjCIHJALQOdY1keA,"['Chinese', 'Restaurants']"
KrpzkbFvCTcM7fPVZN7h1w,"['Chinese', 'Restaurants']"
ZWi7jD_5p4JtAZvYsTIPXQ,"['Chinese', 'Restaurants']"
w3Ad4ue8SMtbVi7hnIS2MQ,"['Chinese', 'Restaurants']"
HEI4WFai9zoixD5GhCnbeg,"['Buffets', 'Chinese', 'Restaurants']"
RNPQP7bDc4Zb3GpnQkygAQ,"['Chinese', 'Restaurants']"
O0kzMnnv9kgRu5WhuS7bLQ,"['Chinese', 'Restaurants']"
vyoJqpSIVSZgpGjCXgtL7Q,"['Fast Food', 'Chinese', 'Restaurants']"
EXl_yEmM-2uyo85zggkVxw,"['Chinese', 'Restaurants']"
E2saBG7KzXvWOrfF4L1qQQ,"['Chinese', 'Restaurants']"
a5ovPlhQkcA27FFu664xKA,"['Chinese', 'Restaurants']"
UW32rmopWuDpT0X1b4RUXA,"['Asian Fusion', 'Chinese', 'Restaurants']"
RQ_QaWi1Cc4X6odfGuUGcA,"['Chinese', 'Restaurants']"
NU3ATvxbS_w_9SRQHVzqDg,"['Japanese', 'Chinese', 'Restaurants']"
GrUh2Jo6sL3wllrtZY4zmg,"['Buffets', 'Chinese', 'Restaurants']"
9cuRKVFit28XH8MhELRwpw,"['Thai', 'Vietnamese', 'Chinese', 'Restaurants']"
VsO_rhXi5lgbaGxNwoEZsQ,"['Asian Fusion', 'Chinese', 'Restaurants']"
PQ-6WWl4A0VkZzhRCEacVA,"['Buffets', 'Chinese', 'Restaurants']"
4RsM5U2poPyQZsaefj85lA,"['Chinese', 'Restaurants']"
T_d9GB_p0ajNTVEZ2CMmrw,"['Chinese', 'Restaurants']"
AT8GGyW0MaNVHiGQ1VQ_QA,"['Chinese', 'Restaurants']"
sMe3y_v4-VKoQts-VGbw5A,"['Chinese', 'Restaurants']"
vXE2s1dVvp7r0hK68juugg,"['Chinese', 'Restaurants']"
K10SpnV1o3bJNGBOesHtXg,"['Chinese', 'Restaurants']"
snMfcJuosoFSdS6LueXmJA,"['Chinese', 'Restaurants']"
lut0g04VsYRyblR1Ad-8HA,"['Gluten-Free', 'Asian Fusion', 'Chinese', 'Restaurants']"
t_ORNRmPxowyNJxZGawjIQ,"['Chinese', 'Restaurants']"
