OlpyplEJ_c_hFxyand_Wxw,"['Szechuan', 'Asian Fusion', 'Chinese', 'Restaurants']"
_qvxFHGbnbrAPeWBVifJEQ,"['American (New)', 'Sandwiches', 'Restaurants']"
s5yzZITWU_RcJzWOgjFecw,"['Restaurants', 'Italian']"
VZYMInkjRJVHwXVFqeoMWg,"['Fast Food', 'Restaurants']"
lohWpifIPBbr1k6oKZkR2w,"['Korean', 'Barbeque', 'Restaurants']"
FFdlPSZCGgTdg1CAfrlvlw,"['Bars', 'Sports Bars', 'Nightlife', 'American (New)', 'Chicken Wings', 'Restaurants']"
DB5rZ9spvyhBJsqOwckncw,"['Chinese', 'Restaurants']"
gq7u9uyOkpLCeh_lxR-WFw,"['Steakhouses', 'Restaurants']"
nZww1gdBAi9HtRKiQHL2qA,"['Seafood', 'Restaurants']"
MJtnKhA3l-2ZFzhneuSccw,"['Steakhouses', 'Restaurants']"
3m7khDnqH9QOg8gu3Ymumw,"['Burgers', 'American (New)', 'Restaurants']"
5TBOg9Rf47SECB8gTNGqeQ,"['Pizza', 'Restaurants']"
WtvgFwomRmd1tcGATO1jnQ,"['Gluten-Free', 'Vegan', 'Restaurants']"
tX13cBUrvD5B565_XhlFNQ,"['Sushi Bars', 'Restaurants']"
j9wGRZESnopncpVQKQx9ww,"['Fast Food', 'Restaurants']"
w-RzHsvV05yT2K-JC8DJUA,"['Sandwiches', 'Restaurants']"
wornLXkcbR8ytf12-PjN6A,"['Gastropubs', 'Caribbean', 'Canadian (New)', 'Restaurants']"
jkLl4bE3kbZvuWIIxzI7jQ,"['Food', 'Bagels', 'Coffee & Tea', 'Sandwiches', 'Restaurants']"
ZlvVCqFKTMK4rBkTQzVBpA,"['Delis', 'Fast Food', 'Sandwiches', 'Restaurants']"
oaeLklvhUU0U1z2Ekmf59A,"['Portuguese', 'Restaurants']"
FBzPxHL9tJYGw0uckrv3vg,"['British', 'Restaurants']"
e2wph-eQnzFeVb4X-Ewisw,"['Creperies', 'Restaurants']"
EPE3OL8nOMQF-TaKo5H1hw,"['American (New)', 'Restaurants']"
BtqIbQ44Pa7-4pAIfPnc9Q,"['Pizza', 'Restaurants']"
hBob8gny3CbazdkimyCp7g,"['Bars', 'Seafood', 'Cocktail Bars', 'Nightlife', 'Steakhouses', 'Restaurants']"
_cxnSeFM0G5AdvCpJjTb0g,"['Italian', 'Pizza', 'Restaurants']"
0QUjIl8sGZsA0L1JCqVAgA,"['American (New)', 'Comfort Food', 'Restaurants']"
Az_IY3TgnOcnh1dXd7GZLg,"['Chinese', 'Restaurants']"
R2ir0q71ZgVdi4HJp6n2dw,"['Restaurants', 'Italian']"
U_RvpPJNn24oWJo07x2j7w,"['Seafood', 'Restaurants']"
4ljVhTNTfZap5ZerVwUjUQ,"['Fast Food', 'Restaurants']"
ASFRtzeC7E-tPGebfvZE2A,"['Food', 'Coffee & Tea', 'Sandwiches', 'Restaurants']"
n0OIZOmu5rOWSJ0-l4b6mw,"['Buffets', 'Restaurants']"
zG_wv69bsllw_PWhOmoAKQ,"['American (New)', 'Restaurants']"
iwFGxwkDJQhPSI1Cj24QYQ,"['Bakeries', 'Food', 'Restaurants', 'Creperies', 'Desserts']"
xKGVVL5cJc00yJE6Q76CDA,"['Mexican', 'Restaurants']"
a2_T-Zw2FK-r9anByMaE_w,"['Chicken Wings', 'Restaurants']"
5nrEG6lFlKfr-OluekbsTw,"['Thai', 'Restaurants']"
uLzb0n7iYbaTZKeta1RDAw,"['Mexican', 'Restaurants']"
WuCcv_Dyd_1B_1-4jwK7sQ,"['Pubs', 'Irish', 'Nightlife', 'Bars', 'Restaurants']"
rGvkljWlP7ysvLEUucoyqA,"['Persian/Iranian', 'Mediterranean', 'Halal', 'Restaurants']"
DYr8tAmbKmH9yHKzQ5nVMw,"['Thai', 'Buffets', 'Restaurants']"
TuhXRiFkxBLIGcLhJ_-Sdw,"['Sushi Bars', 'Japanese', 'Restaurants']"
cLojUtqkFpVIHFEvA_5Atw,"['Bars', 'Caribbean', 'Seafood', 'Nightlife', 'Lounges', 'Restaurants']"
_Bz6YWNI5bi0gqQI4GLvqQ,"['Delis', 'Sandwiches', 'Salad', 'Restaurants']"
U_CvxSM9epIi8u5A0jOUVw,"['Italian', 'Pizza', 'Sandwiches', 'Restaurants']"
VudqspJ-zQIlYRBTANgdzQ,"['Fast Food', 'Mexican', 'Tex-Mex', 'Restaurants']"
XGK7mKZJQtJa77Izhx6xyQ,"['Mediterranean', 'Restaurants']"
ugc287HhOgVukLGZTaX-YQ,"['Southern', 'Sandwiches', 'Barbeque', 'Restaurants']"
b9fEUyazo9wd4TZeDowAkA,"['Burgers', 'Fast Food', 'Restaurants']"
zbjPg_vvxCWkFjeEvVpmnA,"['Lebanese', 'Mediterranean', 'American (New)', 'Middle Eastern', 'Restaurants']"
A1yl07aIgJSSHl6J9HZVBA,"['Food', 'Coffee & Tea', 'Restaurants', 'Italian']"
Rg4dHuszzF0Mb4yqtoHSiA,"['Mexican', 'Restaurants']"
Q0070Z9KMleHbc-uI1e5MQ,"['Burgers', 'Sandwiches', 'Restaurants']"
MPmSoEd46WXqhN-5rw7Yqw,"['Restaurants', 'Pizza', 'Italian']"
InsT_8VUeBpLGupKuQAlQg,"['Mexican', 'Restaurants']"
dM2C2GD3TFbNm-NtVoB6Kw,"['Breakfast & Brunch', 'American (New)', 'Restaurants']"
a1t31qMLd5fQocEjbSJ61A,"['Thai', 'Asian Fusion', 'Szechuan', 'Chinese', 'Restaurants']"
TuuENwzxOFdDLY_oKCbFZw,"['Delis', 'American (New)', 'Sandwiches', 'Restaurants']"
IoWXpj8WFNNu47rKpPb-Og,"['Mexican', 'Restaurants']"
LwSNsn2k6v_Nb2dbhP3qsQ,"['Restaurants', 'Pizza', 'Italian']"
MhkZLdUFaHt5SDcQcqOWQg,"['Sushi Bars', 'Japanese', 'Restaurants']"
VB5whsLqaozVGkqgO7lrcw,"['Seafood', 'Mexican', 'Restaurants']"
bwu0cUZfksuu-uzTPrrl2A,"['Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']"
SvoJ3Y3uqDfB4iGUaWXh8Q,"['Pizza', 'Restaurants']"
zmvIqh26-lzpZROHuhA-6w,"['Greek', 'Mediterranean', 'Restaurants']"
ugaG0tkaJZwq0t5MEkyZxQ,"['Food', 'Ice Cream & Frozen Yogurt', 'Sandwiches', 'Restaurants']"
KKucN3P6aH84MCfPr56a8g,"['Canadian (New)', 'Restaurants']"
M75Mj9JwbL_2dDsyXQiUSw,"['American (New)', 'Restaurants']"
stPGLQ8-zTCnAWcp-PgBGA,"['Bars', 'Burgers', 'Cocktail Bars', 'Nightlife', 'Chicken Wings', 'Restaurants']"
dF-u2E0ZFAZMlAlsTjHz2A,"['Bars', 'American (Traditional)', 'Burgers', 'Nightlife', 'Sports Bars', 'Restaurants']"
u_QcgQDztf0juiqHooRqxQ,['Restaurants']
kOsZcKkDte0pQ38Ek8mNAQ,"['Food', 'Juice Bars & Smoothies', 'Gluten-Free', 'Restaurants']"
W4cHF12due10J7xevvjvPw,"['Thai', 'Vegetarian', 'Restaurants']"
NEhs_aeHR7Tld6qdheisAw,"['Breakfast & Brunch', 'Turkish', 'Mediterranean', 'Restaurants']"
TISYpj3vopI7p7x4rt4ASg,"['Thai', 'Chinese', 'Restaurants']"
NHy-HT-FI305jqgyeIWPCQ,"['Bars', 'American (Traditional)', 'Music Venues', 'Arts & Entertainment', 'Dive Bars', 'Nightlife', 'Restaurants']"
wFN75sAjpPpYnf0De8QssA,"['Buffets', 'Restaurants']"
0SgsUyw0sQSpt6CSI73r6Q,"['Beer Garden', 'Restaurants']"
rB6IWv6mW2IVjvgfvNGdHg,"['Mexican', 'Restaurants']"
0XaoiuLevLVGJRAVq755qQ,"['Sandwiches', 'Pizza', 'Chicken Wings', 'Restaurants']"
lb3bbj4tO0JWwXDqR9rMFA,"['Japanese', 'Restaurants']"
IheYoy35P3l11BQ1pNA9pg,"['Mexican', 'Restaurants']"
mSbFLlDB5Qu-6al1e2DSBw,"['Food', 'Donuts', 'Breakfast & Brunch', 'Restaurants']"
FucrEEO2laIlAnIZ_n6cTA,"['Fast Food', 'Sandwiches', 'Restaurants']"
8vX5suuqyXoCqbhG8BZwgg,"['Restaurants', 'Italian']"
BXsEDghPAyCuvG5bbNYU2Q,"['Barbeque', 'Restaurants']"
wr3bTAXlo6aB5LIbIx6ueQ,"['Burgers', 'Bars', 'Nightlife', 'Restaurants']"
dfkmSx2CkO_ORwujV5p5Ag,"['Food', 'Ice Cream & Frozen Yogurt', 'Coffee & Tea', 'Sandwiches', 'Restaurants']"
2hM--u1QSxnJsdsExT42Lw,"['Diners', 'Restaurants']"
YRz1sq0yAy6IF2prw4ynTA,"['Sushi Bars', 'Restaurants']"
xtuiOHwL5HmVINb9XZvc9g,"['American (New)', 'Restaurants']"
wZzUPdHpG2PM09evT72RMw,"['Chinese', 'Restaurants']"
b9WZJp5L1RZr4F1nxclOoQ,"['Breakfast & Brunch', 'Sandwiches', 'Restaurants']"
oZsWYLfvLBJoonvxObDWtw,"['Fast Food', 'American (Traditional)', 'Restaurants']"
_Ck4AAtkBLsDL9Qcbo9h1Q,"['Sandwiches', 'Restaurants']"
VnR-KYOHlQX-aFMkaY686Q,"['Cafes', 'Dim Sum', 'Chinese', 'Restaurants']"
BH4ky1-owYRtIKRZ0bw9Rw,"['Korean', 'Tapas Bars', 'Restaurants']"
MOy6W061xpZq6co1nmEcfA,"['Sandwiches', 'Restaurants']"
4X_XAOeMw7AFkYhg3NINJA,"['Breakfast & Brunch', 'Restaurants']"
aswnGGsmjBoLwjmO4MMKqA,"['Chicken Wings', 'Restaurants']"
PiXzWWfIjz6kl_e-LYXHhg,"['Restaurants', 'Pizza', 'Italian']"
_Mkp-ZD_TSmLAjR-BmBg7g,"['Mexican', 'Restaurants']"
d24w8_TEu1QamA3qFI5JMw,['Restaurants']
45Vj6a0LX4B2a7loTJyb4g,"['American (New)', 'Restaurants']"
ot4Of_A9onKHoVt4XU7v5g,"['American (Traditional)', 'Fast Food', 'Restaurants']"
2J_Og-4_BkxPbbnzjfaTjA,"['Cajun/Creole', 'Sandwiches', 'Restaurants']"
